poco, top, base
4-BRSA-328D-BA, 2209.28, 3125,89
4-BRSA-879D-BA, 2319.30, 3135.11
4-BRSA-895D-BA, 2085.95, 3357.08
7-MP-21D-BA, 1999.55, 2599.944
7-MP-22-BA, 2031.65, 3013.03
7-MP-25-BA, 2046.25, 3122.79
7-MP-28D-BA, 2527.00, 3188.00
7-MP-29D-BA, 2184.31, 3364.48
7-MP-31D-BA, 2393.35, 3156.00
7-MP-33D-BA, 2312.32, 3016.48
7-MP-34D-BA, 2196.825, 3050.825
7-MP-35D-BA, 2226.68, 3138.05
7-MP-36D-BA, 2161.57, 2951.226
7-MP-37D-BA, 2198.84, 3005.023
7-MP-38D-BA, 2291.40, 2961.323
7-MP-39D-BA, 2104.24, 3311.20
7-MP-40D-BA, 2229.78, 3022.60
7-MP-42D-BA, 2079.12, 2200.00
7-MP-43D-BA, 2026.93, 2806.3
7-MP-47DP-BA, 2224.6, 2926.1
7-MP-48D-BA, 2224.3, 2900.934
7-MP-49D-BA, 2190.43, 3021.178
7-MP-50D-BA, 2241.88, 2974.91
7-MP-56D-BA, 2417.86, 3193.1
